"","Sequence","mcg","gvh","alm","mit","erl","pox","vac","nuc","class"
"974","RL17_YEAST",0.37,0.44,0.64,0.48,0.5,0,0.36,0.27,1
"975","RL19_YEAST",0.72,0.37,0.63,0.38,0.5,0,0.4,0.14,1
"976","RL19_YEAST",0.72,0.37,0.63,0.38,0.5,0,0.4,0.14,1
"977","RL25_YEAST",0.44,0.36,0.64,0.45,0.5,0,0.53,0.11,1
"978","RL27_YEAST",0.58,0.45,0.55,0.27,0.5,0,0.48,0.11,1
"979","RL2_YEAST",0.63,0.64,0.45,0.26,0.5,0,0.43,0.22,1
"980","RL2_YEAST",0.63,0.64,0.45,0.26,0.5,0,0.43,0.22,1
"981","RL3A_YEAST",0.43,0.33,0.67,0.12,0.5,0,0.45,0.23,1
"982","RL3B_YEAST",0.43,0.33,0.67,0.12,0.5,0,0.43,0.23,1
"983","RL3E_YEAST",0.58,0.44,0.5,0.26,0.5,0,0.52,0.22,1
"984","RL34_YEAST",0.38,0.43,0.53,0.22,0.5,0,0.48,0.11,1
"985","R37A_YEAST",0.4,0.45,0.61,0.29,0.5,0,0.44,0.22,1
"986","R37B_YEAST",0.4,0.45,0.61,0.29,0.5,0,0.44,0.22,1
"987","RL44_YEAST",0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,1
"988","RL44_YEAST",0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,1
"989","RL46_YEAST",0.43,0.22,0.79,0.79,0.5,0,0.22,0,1
"990","RL41_YEAST",0.35,0.21,1,0.8,0.5,0,0.13,0.01,1
"991","RL41_YEAST",0.35,0.21,1,0.8,0.5,0,0.13,0.01,1
"992","RL4A_YEAST",0.56,0.35,0.47,0.41,0.5,0,0.5,0.22,1
"993","RL4B_YEAST",0.56,0.35,0.47,0.35,0.5,0,0.52,0.22,1
"994","RL6_YEAST",0.54,0.44,0.55,0.48,0.5,0,0.47,0.22,1
"995","RL71_YEAST",0.35,0.39,0.56,0.2,0.5,0,0.49,0.41,1
"996","RL9_YEAST",0.48,0.46,0.58,0.16,0.5,0,0.45,0.22,1
"997","RLA0_YEAST",0.48,0.55,0.48,0.1,0.5,0,0.55,0.22,1
"998","RLA1_YEAST",0.66,0.6,0.52,0.19,0.5,0,0.69,0.22,1
"999","RLA2_YEAST",0.69,0.54,0.55,0.23,0.5,0,0.73,0.22,1
"1000","RLA3_YEAST",0.73,0.6,0.47,0.2,0.5,0,0.72,0.22,1
"1001","RLA4_YEAST",0.78,0.82,0.56,0.21,0.5,0,0.69,0.22,1
"1006","RS6_YEAST",0.46,0.33,0.45,0.22,0.5,0,0.41,0.37,1
"1007","R19A_YEAST",0.52,0.43,0.61,0.22,0.5,0,0.45,0.22,1
"1008","R19B_YEAST",0.52,0.43,0.61,0.22,0.5,0,0.45,0.22,1
"1009","RS41_YEAST",0.32,0.44,0.54,0.21,0.5,0,0.4,0.19,1
"1010","RS41_YEAST",0.32,0.44,0.54,0.21,0.5,0,0.4,0.19,1
"1011","RS15_YEAST",0.48,0.41,0.52,0.33,0.5,0,0.51,0.26,1
"1012","RS22_YEAST",0.46,0.39,0.54,0.22,0.5,0,0.48,0.25,1
"1013","RS22_YEAST",0.46,0.39,0.54,0.22,0.5,0,0.48,0.25,1
"1014","RS21_YEAST",0.42,0.5,0.64,0.13,0.5,0,0.49,0.22,1
"1015","R26A_YEAST",0.46,0.54,0.59,0.41,0.5,0,0.53,0.21,1
"1016","R26B_YEAST",0.46,0.54,0.59,0.41,0.5,0,0.53,0.21,1
"1017","R271_YEAST",0.39,0.65,0.57,0.19,0.5,0,0.44,0.25,1
"1018","R272_YEAST",0.39,0.65,0.57,0.19,0.5,0,0.43,0.25,1
"1019","RS28_YEAST",0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,1
"1020","RS28_YEAST",0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,1
"1021","RS3_YEAST",0.51,0.52,0.58,0.17,0.5,0,0.47,0.28,1
"1022","RS31_YEAST",0.57,0.48,0.54,0.22,0.5,0,0.5,0.11,1
"1023","RS33_YEAST",0.5,0.5,0.62,0.23,0.5,0,0.35,0.11,1
"1024","RS37_YEAST",0.41,0.49,0.65,0.28,0.5,0,0.59,0.57,1
"1025","RS4E_YEAST",0.53,0.57,0.6,0.36,0.5,0,0.5,0.22,1
"1026","RS4E_YEAST",0.53,0.57,0.6,0.36,0.5,0,0.5,0.22,1
"1027","RS8_YEAST",0.37,0.3,0.62,0.43,0.5,0,0.44,0.39,1
"1028","RS8_YEAST",0.37,0.3,0.62,0.43,0.5,0,0.44,0.39,1
"1032","R161_YEAST",0.49,0.4,0.58,0.23,0.5,0,0.47,0.27,1
"1033","R167_YEAST",0.37,0.37,0.51,0.38,0.5,0,0.44,0.22,1
"1035","FIMB_YEAST",0.51,0.4,0.5,0.28,0.5,0,0.48,0.27,1
"1036","SAC7_YEAST",0.34,0.25,0.55,0.28,0.5,0,0.51,0.49,1
"1038","SAR1_YEAST",0.59,0.54,0.53,0.14,0.5,0,0.48,0.22,1
"1039","SC25_YEAST",0.5,0.48,0.48,0.23,0.5,0,0.53,0.68,1
"1041","PRCI_YEAST",0.56,0.42,0.52,0.14,0.5,0,0.51,0.22,1
"1049","SDHL_YEAST",0.46,0.42,0.51,0.16,0.5,0,0.56,0.22,1
"1050","SEC1_YEAST",0.6,0.51,0.49,0.18,0.5,0,0.53,0.38,1
"1053","SC13_YEAST",0.49,0.38,0.56,0.09,0.5,0,0.46,0.22,1
"1054","SC14_YEAST",0.38,0.4,0.53,0.12,0.5,0,0.55,0.22,1
"1055","SC15_YEAST",0.55,0.55,0.52,0.13,0.5,0,0.53,0.25,1
"1056","SC17_YEAST",0.46,0.44,0.58,0.17,0.5,0,0.55,0.22,1
"1057","SC18_YEAST",0.34,0.46,0.52,0.19,0.5,0,0.53,0.26,1
"1058","SEC2_YEAST",0.58,0.56,0.46,0.14,0.5,0,0.51,0.22,1
"1060","SC21_YEAST",0.44,0.71,0.5,0.21,0.5,0,0.54,0.27,1
"1062","SC23_YEAST",0.41,0.49,0.47,0.09,0.5,0,0.49,0.22,1
"1063","SEC4_YEAST",0.44,0.51,0.53,0.3,0.5,0,0.53,0.22,1
"1064","PMM_YEAST",0.54,0.51,0.56,0.15,0.5,0,0.54,0.31,1
"1066","SEC6_YEAST",0.46,0.38,0.51,0.2,0.5,0,0.51,0.22,1
"1070","SC65_YEAST",0.41,0.4,0.56,0.17,0.5,0,0.56,0.22,1
"1073","SC72_YEAST",0.59,0.55,0.57,0.18,0.5,0,0.51,0.22,1
"1074","SEC8_YEAST",0.48,0.51,0.5,0.24,0.5,0,0.54,0.38,1
"1075","SEC9_YEAST",0.39,0.3,0.63,0.2,0.5,0,0.43,0.47,1
"1082","SYSC_YEAST",0.3,0.33,0.55,0.12,0.5,0,0.53,0.38,1
"1089","GLYC_YEAST",0.53,0.49,0.47,0.21,0.5,0,0.53,0.22,1
"1091","SIC1_YEAST",0.42,0.43,0.67,0.7,0.5,0,0.42,0.25,1
"1100","SIS1_YEAST",0.56,0.55,0.57,0.15,0.5,0,0.54,0.25,1
"1106","SLA1_YEAST",0.37,0.55,0.52,0.13,0.5,0,0.42,0.8,1
"1111","SLY1_YEAST",0.64,0.31,0.53,0.15,0.5,0,0.53,0.31,1
"1118","SMY1_YEAST",0.54,0.5,0.51,0.26,0.5,0,0.52,0.22,1
"1119","SMY2_YEAST",0.6,0.64,0.56,0.36,0.5,0,0.46,0.27,1
"1122","SNF1_YEAST",0.39,0.45,0.51,0.29,0.5,0,0.54,0.22,1
"1125","SNF4_YEAST",0.43,0.47,0.47,0.18,0.5,0,0.47,0.22,1
"1132","SODC_YEAST",0.55,0.57,0.51,0.07,0.5,0,0.55,0.22,1
"1137","RL35_YEAST",0.52,0.47,0.58,0.18,0.5,0,0.34,0.11,1
"1138","RL35_YEAST",0.52,0.47,0.58,0.18,0.5,0,0.34,0.11,1
"1139","SPA2_YEAST",0.5,0.45,0.51,0.19,0.5,0,0.53,0.25,1
"1168","SR14_YEAST",0.61,0.5,0.61,0.21,0.5,0,0.55,0.54,1
"1169","SR54_YEAST",0.5,0.52,0.51,0.22,0.5,0,0.46,0.37,1
"1170","SR68_YEAST",0.62,0.33,0.49,0.24,0.5,0,0.51,0.42,1
"1171","SR72_YEAST",0.56,0.52,0.46,0.17,0.5,0,0.49,0.73,1
"1172","CAP_YEAST",0.52,0.56,0.55,0.16,0.5,0,0.53,0.39,1
"1173","HS71_YEAST",0.53,0.48,0.51,0.18,0.5,0,0.52,0.27,1
"1174","HS72_YEAST",0.51,0.48,0.51,0.19,0.5,0,0.51,0.27,1
"1175","HS73_YEAST",0.51,0.48,0.51,0.26,0.5,0,0.51,0.27,1
"1176","HS74_YEAST",0.53,0.48,0.51,0.18,0.5,0,0.51,0.27,1
"1177","HS75_YEAST",0.6,0.46,0.51,0.1,0.5,0,0.48,0.31,1
"1178","HS76_YEAST",0.6,0.46,0.51,0.1,0.5,0,0.48,0.31,1
"1181","SSD1_YEAST",0.45,0.45,0.51,0.3,0.5,0,0.48,0.44,1
"1193","GBG_YEAST",0.36,0.37,0.63,0.25,0.5,0,0.3,0.22,1
"1195","ST20_YEAST",0.3,0.45,0.55,0.19,0.5,0,0.53,0.4,1
"1197","GBB_YEAST",0.44,0.4,0.53,0.19,0.5,0,0.48,0.27,1
"1205","STU1_YEAST",0.33,0.37,0.49,0.22,0.5,0,0.55,0.22,1
"1212","SUI1_YEAST",0.39,0.39,0.65,0.16,0.5,0,0.45,0.22,1
"1213","IF2A_YEAST",0.51,0.59,0.55,0.21,0.5,0,0.52,0.22,1
"1214","IF2B_YEAST",0.41,0.35,0.6,0.22,0.5,0,0.56,0.79,1
"1216","SUP1_YEAST",0.41,0.49,0.55,0.13,0.5,0,0.55,0.22,1
"1217","SUP2_YEAST",0.23,0.29,0.46,0,0.5,0,0.43,0.31,1
"1218","RS4_YEAST",0.25,0.48,0.45,0.32,0.5,0,0.4,0.22,1
"1219","RS11_YEAST",0.38,0.34,0.55,0.44,0.5,0,0.48,0.26,1
"1228","TAL1_YEAST",0.63,0.64,0.49,0.2,0.5,0,0.52,0.25,1
"1231","RL3_YEAST",0.48,0.44,0.46,0.37,0.5,0,0.46,0.36,1
"1232","TCPA_YEAST",0.5,0.49,0.46,0.22,0.5,0,0.53,0.25,1
"1233","TCPE_YEAST",0.62,0.42,0.47,0.16,0.5,0,0.52,0.22,1
"1234","TCPB_YEAST",0.5,0.45,0.52,0.18,0.5,0,0.52,0.22,1
"1235","TCPG_YEAST",0.59,0.51,0.47,0.21,0.5,0,0.47,0.22,1
"1236","TCPD_YEAST",0.39,0.47,0.49,0.2,0.5,0,0.53,0.26,1
"1237","TCPZ_YEAST",0.49,0.48,0.52,0.24,0.5,0,0.5,0.22,1
"1238","G3P1_YEAST",0.59,0.48,0.49,0.42,0.5,0,0.52,0.22,1
"1239","G3P2_YEAST",0.57,0.35,0.5,0.43,0.5,0,0.53,0.22,1
"1240","G3P3_YEAST",0.61,0.52,0.5,0.44,0.5,0,0.53,0.22,1
"1243","EF1A_YEAST",0.63,0.43,0.48,0.11,0.5,0,0.51,0.22,1
"1244","EF1A_YEAST",0.63,0.43,0.48,0.11,0.5,0,0.51,0.22,1
"1245","EF1G_YEAST",0.52,0.45,0.53,0.34,0.5,0,0.52,0.44,1
"1246","EF1H_YEAST",0.54,0.48,0.55,0.33,0.5,0,0.55,0.4,1
"1254","DKA1_YEAST",0.42,0.5,0.59,0.17,0.5,0,0.51,0.22,1
"1255","THRC_YEAST",0.54,0.55,0.55,0.4,0.5,0,0.53,0.22,1
"1256","SYTC_YEAST",0.31,0.31,0.57,0.15,0.5,0,0.5,0.22,1
"1257","IF4A_YEAST",0.38,0.42,0.5,0.19,0.5,0,0.44,0.22,1
"1258","IF1A_YEAST",0.33,0.36,0.62,0.26,0.5,0,0.55,0.22,1
"1259","IF4A_YEAST",0.38,0.42,0.5,0.19,0.5,0,0.44,0.22,1
"1260","TIF3_YEAST",0.47,0.56,0.58,0.19,0.5,0,0.44,0.64,1
"1261","IF41_YEAST",0.32,0.32,0.52,0.18,0.5,0,0.48,0.34,1
"1262","IF42_YEAST",0.28,0.27,0.5,0.14,0.5,0,0.5,0.28,1
"1263","IF5_YEAST",0.41,0.46,0.57,0.25,0.5,0,0.57,0.38,1
"1264","IF52_YEAST",0.44,0.54,0.51,0.16,0.5,0,0.58,0.22,1
"1265","IF51_YEAST",0.44,0.55,0.51,0.16,0.5,0,0.6,0.22,1
"1267","TP20_YEAST",0.4,0.56,0.53,0.15,0.5,0,0.49,0.22,1
"1270","TKT1_YEAST",0.58,0.55,0.51,0.13,0.5,0,0.52,0.22,1
"1271","TKT2_YEAST",0.55,0.69,0.51,0.12,0.5,0,0.51,0.22,1
"1279","TPIS_YEAST",0.44,0.49,0.49,0.27,0.5,0,0.52,0.22,1
"1280","KAPA_YEAST",0.25,0.26,0.53,0.17,0.5,0,0.45,0.22,1
"1281","KAPB_YEAST",0.49,0.46,0.54,0.18,0.5,0,0.35,0.22,1
"1282","KAPC_YEAST",0.42,0.37,0.54,0.17,0.5,0,0.51,0.22,1
"1283","TPM1_YEAST",0.42,0.45,0.75,0.21,0.5,0,0.48,0.22,1
"1284","TPM2_YEAST",0.39,0.45,0.75,0.17,0.5,0,0.51,0.22,1
"1285","TPS1_YEAST",0.63,0.54,0.53,0.27,0.5,0,0.49,0.22,1
"1286","TPS2_YEAST",0.54,0.43,0.48,0.27,0.5,0,0.44,0.41,1
"1287","TPS3_YEAST",0.4,0.44,0.5,0.13,0.5,0,0.52,0.39,1
"1292","TRPF_YEAST",0.62,0.6,0.54,0.22,0.5,0,0.54,0.27,1
"1293","TRPE_YEAST",0.33,0.46,0.53,0.12,0.5,0,0.5,0.27,1
"1294","TRPG_YEAST",0.57,0.36,0.51,0.25,0.5,0,0.54,0.25,1
"1295","TRPD_YEAST",0.45,0.76,0.51,0.25,0.5,0,0.59,0.22,1
"1296","TRP_YEAST",0.48,0.44,0.51,0.24,0.5,0,0.49,0.22,1
"1297","TSA_YEAST",0.59,0.64,0.44,0.26,0.5,0,0.5,0.22,1
"1298","TSL1_YEAST",0.79,0.56,0.53,0.19,0.5,0,0.47,0.35,1
"1301","GLRX_YEAST",0.52,0.5,0.6,0.2,0.5,0,0.52,0.22,1
"1302","TBA1_YEAST",0.59,0.46,0.57,0.17,0.5,0,0.52,0.22,1
"1303","TBB_YEAST",0.53,0.42,0.53,0.19,0.5,0,0.47,0.22,1
"1304","TBA3_YEAST",0.59,0.46,0.55,0.17,0.5,0,0.52,0.25,1
"1308","TYR1_YEAST",0.66,0.54,0.53,0.17,0.5,0,0.54,0.22,1
"1309","UBA1_YEAST",0.52,0.51,0.48,0.12,0.5,0,0.54,0.31,1
"1310","UBC1_YEAST",0.56,0.46,0.51,0.25,0.5,0,0.54,0.22,1
"1311","UBC4_YEAST",0.47,0.46,0.49,0.27,0.5,0,0.59,0.22,1
"1312","UBC5_YEAST",0.5,0.46,0.49,0.27,0.5,0,0.6,0.22,1
"1314","UBC7_YEAST",0.5,0.44,0.57,0.28,0.5,0,0.57,0.22,1
"1315","UBIQ_YEAST",0.46,0.47,0.62,0.3,0.5,0,0.38,0.22,1
"1316","UBP1_YEAST",0.59,0.7,0.46,0.19,0.5,0,0.54,0.44,1
"1317","UBP2_YEAST",0.19,0.41,0.55,0.13,0.5,0,0.52,0.25,1
"1318","UBP3_YEAST",0.27,0.43,0.5,0.13,0.5,0,0.54,0.31,1
"1319","UBR1_YEAST",0.42,0.46,0.44,0.17,0.5,0,0.51,0.42,1
"1325","PYRD_YEAST",0.48,0.39,0.56,0.23,0.5,0,0.6,0.22,1
"1327","UMPK_YEAST",0.47,0.59,0.56,0.09,0.5,0,0.5,0.22,1
"1328","RL21_YEAST",0.4,0.28,0.58,0.44,0.5,0,0.41,0.22,1
"1329","RSU2_YEAST",0.54,0.35,0.55,0.19,0.5,0,0.3,0.22,1
"1334","SYV_YEAST",0.51,0.49,0.48,0.55,0.5,0,0.52,0.58,1
"1346","VPS1_YEAST",0.5,0.55,0.52,0.16,0.5,0,0.51,0.31,1
"1347","VP15_YEAST",0.65,0.63,0.47,0.22,0.5,0,0.52,0.27,1
"1348","VP16_YEAST",0.41,0.48,0.51,0.2,0.5,0,0.51,0.22,1
"1349","VP17_YEAST",0.25,0.4,0.54,0.16,0.5,0,0.43,0.22,1
"1350","YP51_YEAST",0.63,0.56,0.52,0.21,0.5,0,0.5,0.22,1
"1351","SLP1_YEAST",0.56,0.68,0.42,0.36,0.5,0,0.49,0.22,1
"1353","VP45_YEAST",0.46,0.52,0.51,0.13,0.5,0,0.47,0.22,1
"1354","VRP1_YEAST",0.5,0.4,0.57,0.17,0.5,0,0.59,0.22,1
"1368","AP17_YEAST",0.53,0.52,0.49,0.27,0.5,0,0.51,0.22,1
"1369","AP19_YEAST",0.5,0.47,0.56,0.31,0.5,0,0.56,0.26,1
"1379","RL3P_YEAST",0.24,0.25,0.57,0.28,0.5,0,0.51,0.11,1
"1397","YCK2_YEAST",0.59,0.48,0.49,0.49,0.5,0,0.36,0.32,1
"1415","MAS5_YEAST",0.64,0.44,0.56,0.15,0.5,0,0.56,0.22,1
"1416","EF3_YEAST",0.48,0.58,0.47,0.17,0.5,0,0.53,0.74,1
"1447","YIF2_YEAST",0.47,0.5,0.6,0.63,0.5,0,0.38,0.16,1
"1458","TCTP_YEAST",0.47,0.38,0.58,0.19,0.5,0,0.57,0.22,1
"1460","YKM9_YEAST",0.41,0.45,0.46,0.23,0.5,0,0.5,0.7,1
"1468","RL13_YEAST",0.38,0.48,0.57,0.3,0.5,0,0.41,0.11,1
"1474","YPT1_YEAST",0.6,0.61,0.54,0.11,0.5,0,0.46,0.22,1
"1475","YP52_YEAST",0.48,0.61,0.57,0.17,0.5,0,0.45,0.22,1
"1476","YP53_YEAST",0.71,0.5,0.5,0.18,0.5,0,0.46,0.22,1
"1477","YPT7_YEAST",0.61,0.48,0.54,0.25,0.5,0,0.5,0.22,1
"1478","R29A_YEAST",0.38,0.32,0.64,0.41,0.5,0,0.44,0.11,1
"1479","R29B_YEAST",0.38,0.4,0.66,0.35,0.5,0,0.43,0.11,1
"1484","G6PD_YEAST",0.65,0.54,0.54,0.13,0.5,0,0.53,0.22,1
"4","AAR2_YEAST",0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,8
"8","BAF1_YEAST",0.48,0.45,0.59,0.2,0.5,0,0.58,0.34,8
"11","ACE1_YEAST",0.43,0.39,0.54,0.21,0.5,0,0.53,0.27,8
"12","ACE2_YEAST",0.42,0.37,0.59,0.2,0.5,0,0.52,0.29,8
"18","ACT3_YEAST",0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,8
"19","ACT5_YEAST",0.5,0.34,0.55,0.21,0.5,0,0.49,0.22,8
"20","ADA2_YEAST",0.61,0.6,0.55,0.21,0.5,0,0.5,0.25,8
"31","ADR1_YEAST",0.53,0.54,0.43,0.1,0.5,0,0.57,0.32,8
"34","RCS1_YEAST",0.33,0.55,0.51,0.43,0.5,0,0.51,0.22,8
"46","ANC1_YEAST",0.53,0.31,0.58,0.39,0.5,0,0.47,0.37,8
"53","APN1_YEAST",0.45,0.46,0.55,0.43,0.5,0,0.55,0.38,8
"62","ARG1_YEAST",0.37,0.32,0.47,0.18,0.5,0,0.45,0.25,8
"63","ARG2_YEAST",0.48,0.43,0.51,0.32,0.5,0,0.52,0.43,8
"64","ARG3_YEAST",0.41,0.46,0.59,0.19,0.5,0,0.58,0.27,8
"89","BAS1_YEAST",0.5,0.52,0.59,0.3,0.5,0,0.51,0.35,8
"94","BDF1_YEAST",0.33,0.43,0.64,0.16,0.5,0,0.52,0.52,8
"104","CAD1_YEAST",0.48,0.23,0.57,0.27,0.5,0,0.48,0.47,8
"112","CAT8_YEAST",0.44,0.52,0.41,0.23,0.5,0,0.51,0.22,8
"113","CBF1_YEAST",0.3,0.32,0.57,0.19,0.5,0,0.48,0.55,8
"114","CB32_YEAST",0.4,0.44,0.49,0.47,0.5,0,0.49,0.27,8
"115","CBF5_YEAST",0.45,0.51,0.5,0.16,0.5,0,0.52,1,8
"127","CCL1_YEAST",0.4,0.38,0.53,0.16,0.5,0,0.52,0.27,8
"129","CCR4_YEAST",0.53,0.51,0.55,0.05,0.5,0,0.45,0.25,8
"134","CC16_YEAST",0.62,0.51,0.52,0.42,0.5,0,0.54,0.27,8
"135","CC23_YEAST",0.35,0.58,0.54,0.16,0.5,0,0.51,0.22,8
"138","CC27_YEAST",0.48,0.54,0.5,0.17,0.5,0,0.53,0.22,8
"140","CC31_YEAST",0.47,0.32,0.64,0.3,0.5,0,0.63,0.22,8
"142","UBC3_YEAST",0.58,0.48,0.51,0.47,0.5,0,0.55,0.22,8
"143","NOT2_YEAST",0.64,0.6,0.57,0.19,0.5,0,0.43,0.22,8
"144","NOT1_YEAST",0.37,0.46,0.4,0.27,0.5,0,0.45,0.22,8
"146","CC40_YEAST",0.28,0.37,0.61,0.09,0.5,0,0.52,0.55,8
"149","RFC1_YEAST",0.26,0.36,0.47,0.34,0.5,0,0.53,0.72,8
"150","CC46_YEAST",0.51,0.34,0.5,0.19,0.5,0,0.5,0.22,8
"151","YB52_YEAST",0.58,0.5,0.5,0.12,0.5,0,0.48,0.25,8
"153","CC6_YEAST",0.41,0.39,0.44,0.34,0.5,0,0.48,0.4,8
"155","CC68_YEAST",0.36,0.68,0.46,0.16,0.5,0,0.53,0.28,8
"156","CC7_YEAST",0.42,0.31,0.5,0.15,0.5,0,0.53,0.22,8
"158","DNLI_YEAST",0.67,0.71,0.52,0.65,0.5,0,0.53,0.36,8
"159","MCE1_YEAST",0.49,0.47,0.53,0.16,0.5,0,0.48,0.27,8
"164","CHL1_YEAST",0.42,0.51,0.5,0.12,0.5,0,0.52,0.46,8
"165","CHL4_YEAST",0.57,0.51,0.53,0.18,0.5,0,0.56,0.25,8
"171","CIK1_YEAST",0.31,0.44,0.53,0.23,0.5,0,0.51,0.32,8
"177","KC21_YEAST",0.31,0.31,0.56,0.33,0.5,0,0.52,0.33,8
"178","KC22_YEAST",0.49,0.31,0.49,0.35,0.5,0,0.51,0.29,8
"179","KC2C_YEAST",0.38,0.37,0.56,0.21,0.5,0,0.49,0.22,8
"223","CRM1_YEAST",0.56,0.52,0.48,0.17,0.5,0,0.46,0.22,8
"226","CSE1_YEAST",0.58,0.56,0.45,0.12,0.5,0,0.51,0.22,8
"227","CSE2_YEAST",0.53,0.38,0.66,0.25,0.5,0,0.43,0.22,8
"228","YKE9_YEAST",0.34,0.36,0.54,0.11,0.5,0,0.36,0.21,8
"231","CB33_YEAST",0.41,0.45,0.53,0.17,0.5,0,0.51,0.25,8
"232","CTK1_YEAST",0.31,0.46,0.54,0.52,0.5,0,0.5,0.34,8
"252","DA80_YEAST",0.59,0.58,0.56,0.21,0.5,0,0.54,0.33,8
"253","DA81_YEAST",0.39,0.28,0.46,0.12,0.5,0,0.41,0.22,8
"254","DA82_YEAST",0.56,0.43,0.54,0.16,0.5,0,0.5,0.22,8
"256","DATI_YEAST",0.27,0.36,0.6,0.33,0.5,0,0.37,0.31,8
